'1', '1', 'CIAPORTE SISTEMAS DE GESTAO', 'FLORIANÓPOLIS-SC', '(48) 3025-2888', 'administrativo@ciaporte.com.br', 'http://www.ciaporte.com.br/'
'1', '2', 'CEBRA SOLUÇÕES EM FONTES CHAVEADAS', 'FLORIANÓPOLIS-SC', '(48) 2108-1600', 'vagas@cebra.com.br', 'http://www.cebra.com.br/'
'1', '3', 'LAY LINE', 'Imbituba-SC', '', '', 'http://www.laylinerep.com.br/'
'1', '4', 'CEU GAMES', 'JOINVILLE-SC', '(47) 3431-7300', 'contato@ceugames.com', 'http://www.ceugames.com/'
'1', '5', 'CLIPSOFT', 'FLORIANÓPOLIS-SC', '(48) 3203-1218', 'rh@publicacoesonline.com.br', 'http://www.publicacoesonline.com.br/'
'1', '6', 'COMPLEX INFORMATICA LTDA ME', 'FLORIANÓPOLIS-SC', '(48) 3334-8055', 'complex@complex.com.br', 'http://www.complex.com.br/'
'1', '7', 'SOFTECSUL - ANTIGA PLONGEZ', 'LAGES-SC', '(49) 3289-5100', 'softecsul@softecsul.com', 'http://www.softecsul.com/'
'1', '8', 'CODDE LOCACAO E MANUTENCAO D', 'FLORIANÓPOLIS-SC', '(48) 3304-6291', 'adm@codde.com.br', 'http://www.codde.com.br/'
'1', '9', 'CHIPUS MICROELETRONICA', 'FLORIANÓPOLIS-SC', '(48) 3365-2740', 'financeiro@chipus.com.br', 'http://www.chipus-ip.com/'
'1', '10', 'FABRICO', 'JOSÉ-SC', '(48) 3029-3123', 'rh@fabrico.com.br', 'http://www.dtcom.com.br/'
'1', '11', 'GUARDA FILA TECNOLOGIA', 'FLORIANÓPOLIS-SC', '', '', 'http:'
'1', '12', 'SENIOR SISTEMAS', 'BLUMENAU-SC', '(47) 3221-3300', 'senior@senior.com.br', 'http://www.senior.com.br/'
'2', '1', 'FLORYSOFTT QUALIDADE EM SISTEM', 'BRUSQUE-SC', '(47) 3351-3872', 'falecom@florysoftt.com', 'http://www.florysoftt.com/'
'2', '2', 'LINK PRECISION', 'FLORIANÓPOLIS-SC', '(48) 4009-3767', 'info@linkprecision.com.br', 'http://www.linkprecision.com.br/'
'2', '3', 'ATMC AUTOMACAO E COMUNICACAO LTDA - EPP', 'FLORIANÓPOLIS-SC', '(48) 3222-2692', 'vendas@atmc.com.br', 'http://www.atmc.com.br/'
'2', '4', 'SARAI LUSIA MOLIN LISOWSKI', 'FLORIANOPOLIS-SC', '(48) 3298-8800', 'directa@directa.com.br', 'http://http//www.directaautomacao.com.br'
'2', '5', 'CORDIA', 'FLORIANÓPOLIS-SC', '(48)37175159', 'sac@cordiaip.com.br', 'http:'
